pageid,revid,user_rating,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,readability_consensus,infonoisescore,logcontentlength,logreferences,logpagelinks,numimageslength,num_citetemplates,lognoncitetemplates,num_categories,hasinfobox,lvl2headings,lvl3heading
1073624,16845228,Start,51.18,11.1,14.6,19.43,18.4,10.51,60,8.0,10.0,10th and 11th grade,0.4316057774001699,9.843921051289035,0.0,4.247927513443585,0.0,0,0.0,1,False,1,0
1392765,19906084,Stub,52.87,8.4,8.8,19.24,14.5,10.55,13,5.0,6.0,8th and 9th grade,0.4472573839662447,7.400879436282184,0.0,2.321928094887362,0.0,0,1.0,1,False,0,0
1533556,23751187,Stub,17.0,13.9,14.6,29.33,23.1,13.0,20,5.0,6.8,12th and 13th grade,0.42944785276073616,7.857980995127572,0.0,2.0,0.0,0,1.5849625007211563,1,False,1,0
1590197,23751854,Stub,25.46,12.7,13.0,28.58,22.5,13.0,20,5.5,6.8,12th and 13th grade,0.44548286604361376,7.832890014164742,0.0,2.0,0.0,0,1.5849625007211563,1,False,1,0
1978019,25867452,Stub,36.28,12.7,14.6,22.45,20.0,11.02,30,8.5,9.2,8th and 9th grade,0.36028119507908607,8.88264304936184,0.0,2.807354922057604,0.0,0,1.0,2,False,1,0
2605056,26162291,Stub,58.28,8.4,11.2,21.05,17.0,10.31,21,6.0,7.2,16th and 17th grade,0.4009546539379475,8.379378367071263,0.0,3.1699250014423126,0.0,0,1.5849625007211563,1,False,0,0
1328797,31539087,Stub,35.27,13.1,14.6,29.12,25.8,10.89,46,8.0,9.6,25th and 26th grade,0.41844660194174754,9.342074667999139,0.0,3.5849625007211565,0.0,0,0.0,2,False,1,0
3548057,32992327,Stub,47.79,10.3,13.0,19.54,16.5,10.24,23,6.5,8.0,10th and 11th grade,0.37142857142857144,8.581200581924957,0.0,3.4594316186372978,0.0,0,1.0,1,False,0,0
529826,36151993,Stub,13.95,15.0,15.9,48.37,39.9,11.47,35,11.0,8.0,10th and 11th grade,0.6627783669141039,8.357552004618084,0.0,1.0,0.0021208907741251328,0,1.0,0,False,0,0
2479124,36188432,Stub,40.34,11.1,13.0,25.86,21.5,11.11,64,13.5,7.6,10th and 11th grade,0.4053840063341251,9.871905237659186,0.0,3.8073549220576037,0.0,0,1.0,2,False,2,0
1633070,37147461,Start,21.74,16.2,19.3,28.31,27.6,11.92,44,13.5,11.6,11th and 12th grade,0.4284037558685446,9.149747119504683,0.0,4.857980995127573,0.0,0,0.0,1,False,2,0
1367123,37682748,Stub,21.4,14.3,17.1,42.69,35.8,12.33,33,12.0,8.4,11th and 12th grade,0.4939271255060729,8.554588851677638,0.0,3.0,0.0,0,1.5849625007211563,4,False,2,0
2391729,37787254,Stub,42.72,12.3,14.6,22.74,21.1,10.75,31,10.5,10.0,10th and 11th grade,0.505564387917329,8.897845456005513,0.0,3.0,0.0,0,1.5849625007211563,2,False,0,0
2585879,37919984,Start,35.27,13.1,14.6,20.83,19.1,8.79,950,6.5,9.6,20th and 21th grade,0.4605648962624801,14.354869199859063,0.0,7.787902559391432,0.0001484615670118398,0,2.321928094887362,1,False,6,20
845362,38807647,Start,0.76,20.1,22.1,23.27,25.3,10.54,59,19.0,13.2,22th and 23th grade,0.49662921348314604,9.935165049603695,0.0,3.5849625007211565,0.000749063670411985,0,1.0,1,False,0,0
229148,39557834,B,60.99,11.5,13.0,12.77,16.5,7.84,140,8.5,12.8,12th and 13th grade,0.4345338983050847,11.985841937003341,0.0,4.247927513443585,0.0,0,0.0,2,False,0,0
302493,39638563,B,20.38,14.6,15.9,37.35,31.9,10.83,267,12.0,8.8,15th and 16th grade,0.5591877880184332,11.95673914505908,0.0,6.6865005271832185,0.00014400921658986175,0,0.0,3,False,3,0
2854510,40599675,B,38.31,11.9,13.0,23.72,20.4,10.42,69,8.5,8.4,11th and 12th grade,0.4480651731160896,10.059344460824425,0.0,3.3219280948873626,0.0006788866259334691,0,0.0,3,False,1,0
1797946,41140055,FA,33.24,13.8,15.9,23.15,22.3,8.92,600,15.5,10.4,15th and 16th grade,0.5336075271846301,13.515207030408751,5.0,7.011227255423254,0.00011268240464251507,3,4.0,15,True,5,7
157392,42301713,Stub,32.22,14.2,15.9,27.44,26.0,9.84,22,14.0,10.8,13th and 14th grade,0.6443298969072164,8.17492568250068,0.0,3.4594316186372978,0.0,0,2.0,3,False,0,0
344165,42668896,B,52.19,10.7,13.0,14.79,14.6,8.89,147,15.0,9.6,14th and 15th grade,0.41248574686431017,11.664447284547972,0.0,4.523561956057013,0.0,0,0.0,1,False,4,0
3746405,43210206,Stub,4.82,18.6,17.1,29.24,28.4,11.27,40,15.5,11.6,11th and 12th grade,0.5410404624277456,8.951284714966972,0.0,3.700439718141092,0.0,0,2.584962500721156,1,False,2,0
1887547,43344572,Start,54.56,11.9,14.6,16.13,18.0,9.79,117,10.5,12.0,11th and 12th grade,0.4588607594936709,10.97513145692134,0.0,5.321928094887363,0.00039556962025316455,0,2.321928094887362,2,False,0,0
3987915,43870620,Stub,6.5,15.8,15.9,34.15,28.1,10.18,43,6.0,7.6,15th and 16th grade,0.7502175805047868,8.647458426454921,0.0,4.247927513443585,0.0,0,2.584962500721156,2,False,0,0
849676,44154282,Stub,19.37,15.0,17.1,31.79,27.6,12.77,48,11.0,9.2,12th and 13th grade,0.5606936416184971,8.842350343413809,0.0,3.8073549220576037,0.0,0,1.0,3,False,2,0
1234504,45275659,FA,50.16,11.5,14.6,18.1,18.1,8.49,438,11.5,10.4,11th and 12th grade,0.4154967811991003,13.355213428116022,0.0,7.044394119358453,7.75614674629644e-05,0,1.0,5,False,12,0
286108,45985065,Stub,17.34,15.8,17.1,33.35,30.1,12.05,39,13.5,10.0,15th and 16th grade,0.46375,9.060695931687555,0.0,3.700439718141092,0.0,0,1.0,3,False,1,1
1034241,46224305,Stub,14.64,25.1,23.7,23.34,39.0,11.45,126,13.5,24.4,23th and 24th grade,0.29172056921086675,11.28828934218097,0.0,5.491853096329675,0.0,0,1.0,5,False,2,0
987013,46248065,B,32.22,14.2,15.9,21.59,21.2,10.39,348,7.5,10.8,21th and 22th grade,0.48663173451565234,12.43097517258807,3.1699250014423126,6.584962500721156,0.0,5,1.0,2,False,6,0
980998,46372253,FA,27.83,13.9,14.6,26.1,23.1,9.13,752,15.0,9.2,14th and 15th grade,0.5470280118424049,13.69381361776131,5.129283016944966,7.118941072723508,0.0002277385561375541,16,3.0,8,True,7,3
2460545,46643961,Start,55.58,11.5,13.0,14.63,16.3,8.08,399,8.0,11.6,11th and 12th grade,0.39919195120019013,13.422853195944265,0.0,4.700439718141093,7.922047056959519e-05,5,2.0,2,False,3,6
848735,46663282,FA,44.07,13.8,14.6,15.09,18.5,9.42,662,18.5,12.8,18th and 19th grade,0.3818726006897001,13.781564627244327,0.0,5.832890014164742,0.0001301320840653263,0,2.321928094887362,3,False,8,0
2762029,46727536,Stub,-5.0,18.2,18.2,49.53,41.6,13.77,30,13.5,8.8,13th and 14th grade,0.7147335423197492,7.499845887083206,0.0,3.5849625007211565,0.0,0,1.5849625007211563,1,False,0,0
1207923,47083625,Start,47.79,10.3,14.6,27.03,22.8,10.52,93,15.0,8.0,14th and 15th grade,0.6347826086956522,9.9469062744564,0.0,5.285402218862249,0.0,0,2.807354922057604,4,False,1,0
1687656,48496149,Start,34.26,13.5,15.9,20.59,19.6,9.84,163,8.5,10.0,9th and 10th grade,0.447809626825311,11.492353945159872,0.0,6.0,0.00027041644131963225,0,2.0,7,False,1,0
3110523,48502011,Stub,61.33,7.2,11.2,16.79,12.5,9.05,19,4.0,6.0,16th and 17th grade,0.44803695150115475,8.379378367071263,0.0,2.321928094887362,0.0,0,1.0,1,False,0,0
82489,48771014,FA,40.69,13.1,14.6,17.99,18.1,8.79,1267,9.0,10.8,8th and 9th grade,0.40372527535897584,14.910361658603122,4.906890595608519,6.988684686772166,0.00017300040366760857,0,2.584962500721156,4,True,8,8
