pageid,revid,user_rating,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,readability_consensus
1073624,16845228,Start,51.18,11.1,14.6,19.43,18.4,10.51,60,8.0,10.0,10th and 11th grade
1392765,19906084,Stub,52.87,8.4,8.8,19.24,14.5,10.55,13,5.0,6.0,8th and 9th grade
1533556,23751187,Stub,17.0,13.9,14.6,29.33,23.1,13.0,20,5.0,6.8,12th and 13th grade
1590197,23751854,Stub,25.46,12.7,13.0,28.58,22.5,13.0,20,5.5,6.8,12th and 13th grade
1978019,25867452,Stub,36.28,12.7,14.6,22.45,20.0,11.02,30,8.5,9.2,8th and 9th grade
2605056,26162291,Stub,58.28,8.4,11.2,21.05,17.0,10.31,21,6.0,7.2,16th and 17th grade
1328797,31539087,Stub,35.27,13.1,14.6,29.12,25.8,10.89,46,8.0,9.6,25th and 26th grade
3548057,32992327,Stub,47.79,10.3,13.0,19.54,16.5,10.24,23,6.5,8.0,10th and 11th grade
529826,36151993,Stub,13.95,15.0,15.9,48.37,39.9,11.47,35,11.0,8.0,10th and 11th grade
2479124,36188432,Stub,40.34,11.1,13.0,25.86,21.5,11.11,64,13.5,7.6,10th and 11th grade
1633070,37147461,Start,21.74,16.2,19.3,28.31,27.6,11.92,44,13.5,11.6,11th and 12th grade
1367123,37682748,Stub,21.4,14.3,17.1,42.69,35.8,12.33,33,12.0,8.4,11th and 12th grade
2391729,37787254,Stub,42.72,12.3,14.6,22.74,21.1,10.75,31,10.5,10.0,10th and 11th grade
2585879,37919984,Start,35.27,13.1,14.6,20.83,19.1,8.79,950,6.5,9.6,20th and 21th grade
845362,38807647,Start,0.76,20.1,22.1,23.27,25.3,10.54,59,19.0,13.2,22th and 23th grade
229148,39557834,B,60.99,11.5,13.0,12.77,16.5,7.84,140,8.5,12.8,12th and 13th grade
302493,39638563,B,20.38,14.6,15.9,37.35,31.9,10.83,267,12.0,8.8,15th and 16th grade
2854510,40599675,B,38.31,11.9,13.0,23.72,20.4,10.42,69,8.5,8.4,11th and 12th grade
1797946,41140055,FA,33.24,13.8,15.9,23.15,22.3,8.92,600,15.5,10.4,15th and 16th grade
157392,42301713,Stub,32.22,14.2,15.9,27.44,26.0,9.84,22,14.0,10.8,13th and 14th grade
344165,42668896,B,52.19,10.7,13.0,14.79,14.6,8.89,147,15.0,9.6,14th and 15th grade
3746405,43210206,Stub,4.82,18.6,17.1,29.24,28.4,11.27,40,15.5,11.6,11th and 12th grade
1887547,43344572,Start,54.56,11.9,14.6,16.13,18.0,9.79,117,10.5,12.0,11th and 12th grade
3987915,43870620,Stub,6.5,15.8,15.9,34.15,28.1,10.18,43,6.0,7.6,15th and 16th grade
849676,44154282,Stub,19.37,15.0,17.1,31.79,27.6,12.77,48,11.0,9.2,12th and 13th grade
1234504,45275659,FA,50.16,11.5,14.6,18.1,18.1,8.49,438,11.5,10.4,11th and 12th grade
286108,45985065,Stub,17.34,15.8,17.1,33.35,30.1,12.05,39,13.5,10.0,15th and 16th grade
1034241,46224305,Stub,14.64,25.1,23.7,23.34,39.0,11.45,126,13.5,24.4,23th and 24th grade
987013,46248065,B,32.22,14.2,15.9,21.59,21.2,10.39,348,7.5,10.8,21th and 22th grade
980998,46372253,FA,27.83,13.9,14.6,26.1,23.1,9.13,752,15.0,9.2,14th and 15th grade
2460545,46643961,Start,55.58,11.5,13.0,14.63,16.3,8.08,399,8.0,11.6,11th and 12th grade
848735,46663282,FA,44.07,13.8,14.6,15.09,18.5,9.42,662,18.5,12.8,18th and 19th grade
2762029,46727536,Stub,-5.0,18.2,18.2,49.53,41.6,13.77,30,13.5,8.8,13th and 14th grade
1207923,47083625,Start,47.79,10.3,14.6,27.03,22.8,10.52,93,15.0,8.0,14th and 15th grade
1687656,48496149,Start,34.26,13.5,15.9,20.59,19.6,9.84,163,8.5,10.0,9th and 10th grade
3110523,48502011,Stub,61.33,7.2,11.2,16.79,12.5,9.05,19,4.0,6.0,16th and 17th grade
82489,48771014,FA,40.69,13.1,14.6,17.99,18.1,8.79,1267,9.0,10.8,8th and 9th grade
1855140,49624117,B,58.62,10.3,11.2,12.53,13.3,8.43,276,11.5,10.4,12th and 13th grade
118372,49778471,FA,52.19,10.7,14.6,17.69,16.5,8.54,1353,20.5,9.6,9th and 10th grade
3101584,50497448,Stub,41.36,10.7,14.6,25.74,20.9,11.21,61,11.5,7.2,10th and 11th grade
3829213,50589338,Start,53.55,12.3,14.6,19.5,21.3,9.87,337,54.5,12.4,9th and 10th grade
745960,50655700,FA,39.67,13.4,15.9,20.48,21.0,8.63,1062,23.5,11.2,20th and 21th grade
2006696,50666457,Stub,30.87,12.7,14.6,29.93,24.9,11.47,35,9.0,8.0,29th and 30th grade
1151533,50751665,Stub,27.15,16.2,18.2,22.34,24.4,10.27,65,13.5,12.8,12th and 13th grade
1775924,50810399,FA,54.22,9.9,13.0,15.37,14.1,8.15,1946,14.5,8.8,14th and 15th grade
61075,51180276,FA,33.24,13.8,15.9,19.26,19.2,8.59,845,5.0,10.4,19th and 20th grade
51499,51374938,FA,51.18,11.1,13.0,16.07,16.1,8.26,1255,14.0,10.0,9th and 10th grade
867154,51382608,B,59.64,9.9,13.0,14.97,14.9,8.44,338,11.0,10.0,9th and 10th grade
106130,51814199,FA,49.15,11.9,14.6,14.62,15.5,8.53,1061,11.0,10.8,10th and 11th grade
905639,51832388,FA,36.63,14.6,17.1,18.57,20.6,9.28,1277,19.5,12.4,20th and 21th grade
157814,51998547,FA,37.64,14.2,15.9,17.53,19.6,8.69,1447,18.5,12.0,11th and 12th grade
4765408,52255855,Stub,57.27,8.8,11.2,16.93,14.2,9.0,13,7.0,7.6,8th and 9th grade
1603455,52381484,Stub,21.4,14.3,14.6,24.24,20.5,12.89,60,11.0,8.4,14th and 15th grade
315856,52440227,Start,37.3,12.3,14.6,22.56,19.9,11.47,163,9.0,8.8,8th and 9th grade
23037,52547382,FA,49.15,11.9,14.6,18.51,18.7,9.25,1010,14.5,10.8,18th and 19th grade
225763,52677509,B,71.48,9.5,13.0,12.48,15.2,7.33,249,7.0,12.0,6th and 7th grade
243011,52757229,B,42.72,12.3,14.6,17.06,16.7,9.77,628,13.5,10.0,9th and 10th grade
3565069,53198865,FA,18.35,15.4,15.9,24.89,22.4,9.11,304,7.5,9.6,15th and 16th grade
44833,53340381,FA,40.69,13.1,14.6,15.55,16.4,8.66,1619,13.5,10.8,15th and 16th grade
2084583,53340626,FA,37.64,14.2,15.9,18.11,19.6,8.6,569,15.0,12.0,14th and 15th grade
3380026,53554020,Stub,17.34,15.8,18.2,25.7,23.8,11.37,44,11.0,10.0,10th and 11th grade
1044456,53602343,FA,51.18,11.1,14.6,16.82,16.6,7.86,637,5.0,10.0,16th and 17th grade
1547959,53638438,Stub,55.58,11.5,17.1,24.08,23.9,8.99,19,12.0,11.6,11th and 12th grade
1856477,53656746,B,50.16,11.5,14.6,16.01,16.6,8.79,400,8.0,10.4,16th and 17th grade
3547560,53814160,FA,61.67,9.1,13.0,17.4,16.1,8.44,548,11.5,9.2,8th and 9th grade
1272047,53902948,B,47.79,10.3,13.0,17.16,14.6,9.73,282,6.5,8.0,9th and 10th grade
1024510,54104926,FA,49.15,11.9,14.6,16.19,16.9,9.08,644,5.5,10.8,16th and 17th grade
752301,54301492,B,51.18,11.1,14.6,16.65,16.4,8.47,784,7.5,10.0,16th and 17th grade
37782,54350087,FA,41.7,12.7,14.6,17.46,17.6,8.8,1501,14.0,10.4,17th and 18th grade
4777041,54364396,Start,37.64,14.2,15.9,17.87,19.4,10.05,205,20.5,12.0,11th and 12th grade
824265,54575351,FA,43.73,11.9,14.6,19.43,18.3,9.83,785,11.5,9.6,11th and 12th grade
66432,54660185,B,20.38,14.6,15.9,22.27,19.7,10.08,538,7.5,8.8,19th and 20th grade
5138507,54778732,Stub,30.2,15.0,18.2,27.56,26.9,10.86,65,16.0,11.6,11th and 12th grade
1594800,55035357,Start,31.21,14.6,17.1,24.14,23.5,12.25,98,26.0,11.2,23th and 24th grade
5229111,55311015,Start,77.23,5.2,8.8,13.03,9.8,8.13,71,7.0,6.4,6th and 7th grade
115331,55345862,Start,70.8,5.6,8.8,13.95,9.9,7.57,78,4.5,5.6,5th and 6th grade
4128287,55381782,Stub,11.92,15.8,17.1,31.26,27.1,11.37,62,7.0,8.8,15th and 16th grade
2421489,55472646,B,60.65,9.5,13.0,14.74,14.4,8.47,193,11.0,9.6,9th and 10th grade
120236,55490243,Start,80.28,4.1,8.8,11.68,7.9,7.39,76,5.5,5.2,5th and 6th grade
122138,55508332,Start,71.82,5.2,8.8,12.55,8.7,7.69,79,6.0,5.2,8th and 9th grade
5134829,55585751,B,51.18,11.1,14.6,19.61,18.5,10.21,99,7.5,10.0,9th and 10th grade
171080,55587219,FA,30.2,15.0,15.9,19.56,20.3,8.45,2664,8.0,11.6,19th and 20th grade
119605,55598186,Start,79.26,4.4,8.8,11.8,8.2,7.48,78,5.5,5.6,5th and 6th grade
8082,55650329,FA,43.73,11.9,14.6,18.56,17.3,8.41,2338,10.5,9.6,10th and 11th grade
3290060,55660138,FA,35.27,13.1,14.6,23.78,21.8,9.08,800,9.0,9.6,9th and 10th grade
4769325,55909982,Start,48.81,9.9,13.0,20.41,16.7,10.78,98,8.0,7.6,7th and 8th grade
679074,55943754,FA,45.09,13.4,15.9,15.96,18.4,9.05,952,10.5,12.4,15th and 16th grade
