pageid	revid	ordered_class
1073624	16845228	Start
1864234	17502160	Stub
1952627	17578377	B
1392765	19906084	Stub
2393443	20539678	Stub
1533556	23751187	Stub
1590197	23751854	Stub
1978019	25867452	Stub
2605056	26162291	Stub
1328797	31539087	Stub
3548057	32992327	Stub
3699221	34909786	Stub
529826	36151993	Stub
2479124	36188432	Stub
1633070	37147461	Start
1367123	37682748	Stub
2391729	37787254	Stub
2585879	37919984	Start
845362	38807647	Start
229148	39557834	B
302493	39638563	B
2854510	40599675	B
1797946	41140055	FA
157392	42301713	Stub
4284625	42330417	Stub
344165	42668896	B
4323131	42866498	Stub
3746405	43210206	Stub
1887547	43344572	Start
3987915	43870620	Stub
849676	44154282	Stub
1234504	45275659	FA
2132322	45717787	Stub
286108	45985065	Stub
1034241	46224305	Stub
987013	46248065	B
980998	46372253	FA
2460545	46643961	Start
848735	46663282	FA
2762029	46727536	Stub
4448887	46950485	Stub
1207923	47083625	Start
1389110	47448420	B
892876	47942628	FA
1687656	48496149	Start
3110523	48502011	Stub
82489	48771014	FA
1855140	49624117	B
118372	49778471	FA
1867067	49888302	Stub
3101584	50497448	Stub
87610	50519644	FA
3829213	50589338	Start
745960	50655700	FA
2006696	50666457	Stub
1151533	50751665	Stub
1775924	50810399	FA
51580	50979678	FA
61075	51180276	FA
51499	51374938	FA
867154	51382608	B
1142605	51475084	FA
1046206	51496632	FA
46720	51743668	FA
106130	51814199	FA
905639	51832388	FA
16509	51996300	FA
157814	51998547	FA
4765408	52255855	Stub
281923	52348754	FA
19916594	52358005	FA
1603455	52381484	Stub
315856	52440227	Start
19916686	52538336	FA
23037	52547382	FA
3831777	52622173	Stub
225763	52677509	B
243011	52757229	B
3781716	52943228	B
3565069	53198865	FA
44833	53340381	FA
2084583	53340626	FA
3380026	53554020	Stub
1111187	53592136	FA
1044456	53602343	FA
18959138	53625430	FA
1547959	53638438	Stub
1856477	53656746	B
3547560	53814160	FA
1272047	53902948	B
1024510	54104926	FA
752301	54301492	B
37782	54350087	FA
4777041	54364396	Start
824265	54575351	FA
66432	54660185	B
24065	54748501	B
5138507	54778732	Stub
1594800	55035357	Start
32788	55224010	FA
5229111	55311015	Start
115331	55345862	Start
4128287	55381782	Stub
14533	55391504	FA
274451	55428937	B
2421489	55472646	B
120236	55490243	Start
122138	55508332	Start
5134829	55585751	B
171080	55587219	FA
119605	55598186	Start
8082	55650329	FA
3290060	55660138	FA
4769325	55909982	Start
679074	55943754	FA
4760195	55986806	Stub
40203	56082399	FA
3065569	56090338	FA
7227	56128907	FA
3309927	56136952	Stub
216855	56300891	FA
4116363	56342554	B
900511	56497834	GA
4508471	56531697	Stub
4701911	56532927	Stub
2654753	56540100	B
889116	56690067	FA
3216203	56742350	FA
21302	56823632	FA
44883	56846831	FA
33422	56918641	FA
3359077	56966635	B
15600	57142417	FA
50603	57210336	FA
3565644	57252044	GA
31392	57296587	FA
441606	57353793	B
60112	57454429	FA
328397	57465783	Start
2604100	57534222	Start
52759	57543925	FA
198435	57589169	FA
4896496	57593305	FA
30871177	57613501	FA
1414673	57652849	Stub
365088	57662906	FA
947219	57703707	FA
1908697	57746903	FA
112677	57752207	Start
5509553	57953018	Stub
24437894	57998693	FA
165824	58002702	FA
26809	58092137	FA
1584018	58113063	Start
1136575	58114692	FA
1110265	58205088	FA
18320	58222516	B
12384	58297508	FA
349496	58302786	FA
4011202	58360538	FA
4683646	58459736	GA
1642929	58463989	B
157472	58512722	FA
15872	58548464	FA
1213767	58560625	Start
1477776	58561259	B
4706508	58571722	B
17011	58577092	FA
4925	58577720	FA
57585	58601010	FA
890593	58694557	Start
50397	58760522	FA
3746	58795323	FA
4622696	58827197	FA
4774392	58834251	Stub
2307224	58907989	Stub
33684	59033456	FA
1529732	59044882	B
804581	59057552	FA
32745	59286355	FA
426823	59329619	B
3499367	59395737	Start
2800283	59422766	B
4649004	59465971	B
5463902	59513873	Stub
5637105	59609672	B
3051575	59617663	FA
348333	59625106	B
145326	59641556	FA
5022700	59696410	B
4944585	59717072	B
3671759	59925700	Stub
3016271	60024142	FA
5030380	60092445	FA
5674611	60104384	Stub
3908149	60164818	Start
1108485	60211914	B
416499	60283254	FA
5689940	60304157	Start
5285192	60405493	B
2522771	60412777	B
5094710	60478408	FA
267008	60550282	FA
261096	60589617	FA
1600855	60597486	B
1540309	60693022	FA
50943	60783277	B
1786680	60836583	FA
155311	60903909	B
1097941	61043951	B
10128	61131265	FA
405411	61131750	FA
333778	61144396	FA
3844203	61191129	B
253116	61214465	B
329956	61224445	B
5766507	61302176	B
275536	61368308	FA
4249148	61391101	Stub
1631703	61443401	Stub
1503073	61446783	FA
216315	61512924	FA
406910	61639798	FA
147591	61653961	FA
334013	61657993	FA
